ID    NOME_PROG       MOTIVO               ESTADO_ANT   ESTADO_NOVO  TABELA_PAGINAS
1     progMinimo      criacao              NULO         PRONTO       { [0,0,mp] }
1     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
2     progMinimo      criacao              NULO         PRONTO       { [0,1,mp] }
1     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
2     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,1,mp] }
3     progMinimo      criacao              NULO         PRONTO       { [0,2,mp] }
2     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,1,mp] }
1     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
4     progMinimo      criacao              NULO         PRONTO       { [0,3,mp] }
1     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,0,mp] }
3     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,2,mp] }
3     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp] }
2     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,1,mp] }
2     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,1,mp] }
4     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,3,mp] }
4     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,3,mp] }
3     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,2,mp] }
3     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,2,mp] }
4     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,3,mp] }
4     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,3,mp] }
4     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,3,mp] }
4     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,3,mp] }
5     fatorial        criacao              NULO         PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        E/S_Console          EXECUTANDO   BLOQUEADO    { [0,0,mp] }
5     fatorial        Fim_E/S_Console      BLOQUEADO    PRONTO       { [0,0,mp] }
5     fatorial        escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
5     fatorial        finalizacao          EXECUTANDO   TERMINADO    { [0,0,mp] }
6     fatorialV2      criacao              NULO         PRONTO       { [0,0,mp], [1,_,_] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,_,_] }
6     fatorialV2      Page_Fault           EXECUTANDO   BLOQUEADO    { [0,0,mp], [1,_,_] }
6     fatorialV2      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,0,mp], [1,1,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
7     fatorialV2      criacao              NULO         PRONTO       { [0,2,mp], [1,_,_] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,_,_] }
7     fatorialV2      Page_Fault           EXECUTANDO   BLOQUEADO    { [0,2,mp], [1,_,_] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
7     fatorialV2      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      E/S_Console          EXECUTANDO   BLOQUEADO    { [0,0,mp], [1,1,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,3,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      E/S_Console          EXECUTANDO   BLOQUEADO    { [0,2,mp], [1,3,mp] }
6     fatorialV2      Fim_E/S_Console      BLOQUEADO    PRONTO       { [0,0,mp], [1,1,mp] }
6     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
6     fatorialV2      finalizacao          EXECUTANDO   TERMINADO    { [0,0,mp], [1,1,mp] }
7     fatorialV2      Fim_E/S_Console      BLOQUEADO    PRONTO       { [0,2,mp], [1,3,mp] }
7     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
7     fatorialV2      finalizacao          EXECUTANDO   TERMINADO    { [0,2,mp], [1,3,mp] }
8     fatorialV2      criacao              NULO         PRONTO       { [0,0,mp], [1,_,_] }
8     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,_,_] }
8     fatorialV2      Page_Fault           EXECUTANDO   BLOQUEADO    { [0,0,mp], [1,_,_] }
9     fatorialV2      criacao              NULO         PRONTO       { [0,2,mp], [1,_,_] }
9     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,_,_] }
8     fatorialV2      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,0,mp], [1,1,mp] }
9     fatorialV2      Page_Fault           EXECUTANDO   BLOQUEADO    { [0,2,mp], [1,_,_] }
8     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,1,mp] }
9     fatorialV2      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,2,mp], [1,3,mp] }
8     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,1,mp] }
9     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,3,mp] }
