ID    NOME_PROG       MOTIVO               ESTADO_ANT   ESTADO_NOVO  TABELA_PAGINAS
1     progMinimo      criacao              NULO         PRONTO       { [0,0,mp] }
2     progMinimo      criacao              NULO         PRONTO       { [0,1,mp] }
3     progMinimo      criacao              NULO         PRONTO       { [0,2,mp] }
4     progMinimo      criacao              NULO         PRONTO       { [0,3,mp] }
5     fatorialV2      criacao_vitim        NULO         BLOQUEADO    { [0,_,_], [1,_,_] }
5     fatorialV2      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,0,mp], [1,_,_] }
1     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,-1,ms] }
1     progMinimo      Page_Fault_Vitima    EXECUTANDO   BLOQUEADO    { [0,-1,ms] }
2     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,1,mp] }
1     progMinimo      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,0,mp] }
2     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,1,mp] }
3     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,2,mp] }
3     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp] }
4     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,3,mp] }
4     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,3,mp] }
5     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,-1,ms], [1,_,_] }
5     fatorialV2      Page_Fault_Vitima    EXECUTANDO   BLOQUEADO    { [0,-1,ms], [1,_,_] }
1     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,-1,ms] }
1     progMinimo      Page_Fault_Vitima    EXECUTANDO   BLOQUEADO    { [0,-1,ms] }
2     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,-1,ms] }
2     progMinimo      Page_Fault_Vitima    EXECUTANDO   BLOQUEADO    { [0,-1,ms] }
3     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,2,mp] }
3     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,2,mp] }
4     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,3,mp] }
5     fatorialV2      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,0,mp], [1,_,_] }
4     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,3,mp] }
5     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,_,_] }
1     progMinimo      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,1,mp] }
5     fatorialV2      Page_Fault           EXECUTANDO   BLOQUEADO    { [0,0,mp], [1,_,_] }
1     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,1,mp] }
2     progMinimo      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,0,mp] }
5     fatorialV2      Fim_Page_Fault       BLOQUEADO    PRONTO       { [0,0,mp], [1,2,mp] }
1     progMinimo      fatia_tempo          EXECUTANDO   PRONTO       { [0,1,mp] }
2     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,0,mp] }
2     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,0,mp] }
5     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,2,mp] }
5     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,0,mp], [1,2,mp] }
1     progMinimo      escalonador          PRONTO       EXECUTANDO   { [0,1,mp] }
1     progMinimo      finalizacao          EXECUTANDO   TERMINADO    { [0,1,mp] }
5     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,0,mp], [1,2,mp] }
5     fatorialV2      finalizacao          EXECUTANDO   TERMINADO    { [0,0,mp], [1,2,mp] }
